,Association,Dx Name,Mx Name,Prevalence,Import,LR (+),LR (-)
19,"362, 60",PEPTIC ULCER,ABDOMEN PAIN EPIGASTRIUM RELIEVED BY ANTACID,0.09090909090909091,2,1.1111111111111112,0.769230769230769
20,"362, 61",PEPTIC ULCER,ABDOMEN PAIN EPIGASTRIUM RELIEVED BY FOOD,0.09090909090909091,2,29.999999999999975,0.25641025641025644
21,"362, 75",PEPTIC ULCER,ABDOMEN PAIN NON COLICKY,0.09090909090909091,3,1.1111111111111112,0.769230769230769
22,"362, 76",PEPTIC ULCER,ABDOMEN PAIN ONSET GTR THAN 1 HOUR POSTPRANDIAL,0.09090909090909091,3,29.999999999999975,0.25641025641025644
23,"362, 77",PEPTIC ULCER,ABDOMEN PAIN PERIUMBILICAL,0.09090909090909091,3,0.101010101010101,90.00000000000192
24,"362, 78",PEPTIC ULCER,ABDOMEN PAIN PRESENT,0.09090909090909091,2,,
25,"362, 85",PEPTIC ULCER,ABDOMEN PAIN RELIEVED BY FASTING,0.09090909090909091,2,0.101010101010101,90.00000000000192
26,"362, 88",PEPTIC ULCER,ABDOMEN PAIN RIGHT LOWER QUADRANT,0.09090909090909091,3,0.10101010101010104,1.0987791342952276
27,"362, 89",PEPTIC ULCER,ABDOMEN PAIN RIGHT UPPER QUADRANT,0.09090909090909091,3,0.10101010101010104,1.0987791342952276
28,"362, 92",PEPTIC ULCER,ABDOMEN PAIN SEVERE,0.09090909090909091,3,0.10101010101010104,1.0987791342952276
29,"362, 248",PEPTIC ULCER,ANOREXIA,0.09090909090909091,1,,
30,"362, 3211",PEPTIC ULCER,REGURGITATION SOUR,0.09090909090909091,2,1.1111111111111116,0.989010989010989
31,"362, 4022",PEPTIC ULCER,VOMITING RECENT,0.09090909090909091,2,,
32,"362, 102",PEPTIC ULCER,ABDOMEN TENDERNESS EPIGASTRIUM <NON HEPATIC>,0.09090909090909091,3,30.00000000000031,0.903010033444816
33,"362, 108",PEPTIC ULCER,ABDOMEN TENDERNESS PRESENT,0.09090909090909091,2,,
34,"362, 1512",PEPTIC ULCER,FECES GUAIAC TEST POSITIVE,0.09090909090909091,3,1.1111111111111116,0.989010989010989
35,"362, 1172",PEPTIC ULCER,DUODENAL BULB BARIUM MEAL DEFORMITY,0.09090909090909091,2,30.00000000000031,0.903010033444816
36,"362, 1173",PEPTIC ULCER,DUODENAL BULB BARIUM MEAL ULCER CRATER <S>,0.09090909090909091,4,29.999999999999975,0.25641025641025644
37,"362, 1177",PEPTIC ULCER,DUODENUM BARIUM MEAL DISTAL ULCER CRATER <S>,0.09090909090909091,4,1.11111111111111,0.9989909182643795
38,"362, 3688",PEPTIC ULCER,STOMACH ACIDITY AFTER PENTAGASTRIN 30 TO 40 MEQ PER HOUR,0.09090909090909091,3,30.00000000000031,0.903010033444816
39,"362, 3689",PEPTIC ULCER,STOMACH ACIDITY AFTER PENTAGASTRIN GTR THAN 40 MEQ PER HOUR,0.09090909090909091,3,30.000000000003304,0.9903301100366788
40,"362, 3691",PEPTIC ULCER,STOMACH ACIDITY BASAL OUTPUT GTR THAN 15 MEQ PER HOUR,0.09090909090909091,2,30.00000000000031,0.903010033444816
41,"362, 3699",PEPTIC ULCER,STOMACH BARIUM MEAL DEFORMITY ANTRUM,0.09090909090909091,4,1.1111111111111116,0.989010989010989
42,"362, 3711",PEPTIC ULCER,STOMACH BARIUM MEAL RUGAE ENLARGED,0.09090909090909091,3,1.1111111111111116,0.989010989010989
43,"362, 3712",PEPTIC ULCER,STOMACH BARIUM MEAL ULCER CRATER <S>,0.09090909090909091,4,29.999999999999908,0.5084745762711864
44,"362, 1185",PEPTIC ULCER,DUODENUM ENDOSCOPY ULCER CRATER <S>,0.09090909090909091,4,29.999999999999975,0.25641025641025644
45,"362, 3720",PEPTIC ULCER,STOMACH ENDOSCOPY DIFFUSE INFLAMMATION,0.09090909090909091,2,1.1111111111111116,0.989010989010989
46,"362, 3731",PEPTIC ULCER,STOMACH ENDOSCOPY ULCER CRATER <S>,0.09090909090909091,4,29.999999999999908,0.5084745762711864
47,"351, 59",PANCREATITIS ACUTE,ABDOMEN PAIN EPIGASTRIUM RECURRENT ATTACK <S> HX,0.01,2,1.0,1.0
48,"351, 64",PANCREATITIS ACUTE,ABDOMEN PAIN EXACERBATION WITH ALCOHOL,0.01,2,1.0000000000000002,1.0
49,"351, 198",PANCREATITIS ACUTE,AGE 16 TO 25,0.01,3,,
50,"351, 199",PANCREATITIS ACUTE,AGE 26 TO 55,0.01,3,,
51,"351, 200",PANCREATITIS ACUTE,AGE GTR THAN 55,0.01,3,,
52,"351, 208",PANCREATITIS ACUTE,ALCOHOLISM CHRONIC HX,0.01,3,11.00000000000001,0.5238095238095238
53,"351, 1046",PANCREATITIS ACUTE,CORTICOSTEROID ADMINISTRATION PRIOR TO CURRENT ILLNESS HX,0.01,2,0.9999999999999991,1.0
54,"351, 3304",PANCREATITIS ACUTE,SEX FEMALE,0.01,3,,
55,"351, 3305",PANCREATITIS ACUTE,SEX MALE,0.01,3,,
56,"351, 58",PANCREATITIS ACUTE,ABDOMEN PAIN EPIGASTRIUM,0.01,3,10.999999999999991,0.2682926829268293
57,"351, 75",PANCREATITIS ACUTE,ABDOMEN PAIN NON COLICKY,0.01,3,0.9999999999999999,1.0000000000000004
58,"351, 77",PANCREATITIS ACUTE,ABDOMEN PAIN PERIUMBILICAL,0.01,3,0.9999999999999991,1.0
59,"351, 78",PANCREATITIS ACUTE,ABDOMEN PAIN PRESENT,0.01,2,,
60,"351, 88",PANCREATITIS ACUTE,ABDOMEN PAIN RIGHT LOWER QUADRANT,0.01,3,0.9999999999999991,1.0
61,"351, 89",PANCREATITIS ACUTE,ABDOMEN PAIN RIGHT UPPER QUADRANT,0.01,3,1.0000000000000002,1.0
62,"351, 92",PANCREATITIS ACUTE,ABDOMEN PAIN SEVERE,0.01,3,10.999999999999991,0.2682926829268293
63,"351, 248",PANCREATITIS ACUTE,ANOREXIA,0.01,1,,
64,"351, 4022",PANCREATITIS ACUTE,VOMITING RECENT,0.01,2,,
65,"351, 102",PANCREATITIS ACUTE,ABDOMEN TENDERNESS EPIGASTRIUM <NON HEPATIC>,0.01,3,10.999999999999991,0.2682926829268293
66,"351, 108",PANCREATITIS ACUTE,ABDOMEN TENDERNESS PRESENT,0.01,2,,
67,"351, 1512",PANCREATITIS ACUTE,FECES GUAIAC TEST POSITIVE,0.01,3,1.0000000000000002,1.0
68,"351, 100",PANCREATITIS ACUTE,ABDOMEN SURGERY RECENT HX,0.01,1,0.9999999999999991,1.0
69,"351, 114",PANCREATITIS ACUTE,ABDOMEN TRAUMA RECENT HX,0.01,2,1.0000000000000002,1.0
70,"351, 207",PANCREATITIS ACUTE,ALCOHOL INGESTION HEAVY RECENT HX,0.01,3,10.999999999999991,0.2682926829268293
71,"351, 1120",PANCREATITIS ACUTE,CYTOTOXIC DRUG ADMINISTRATION PRIOR TO CURRENT ILLNESS HX,0.01,3,0.9999999999999991,1.0
72,"351, 2667",PANCREATITIS ACUTE,MUMPS RECENT HX,0.01,2,1.0000000000000002,1.0
73,"351, 2817",PANCREATITIS ACUTE,PANCREATITIS ACUTE HX,0.01,3,11.00000000000001,0.5238095238095238
74,"351, 55",PANCREATITIS ACUTE,ABDOMEN PAIN ACUTE,0.01,3,10.999999999999991,0.2682926829268293
75,"351, 63",PANCREATITIS ACUTE,ABDOMEN PAIN EPIGASTRIUM UNRELIEVED BY ANTACID,0.01,3,10.999999999999991,0.2682926829268293
76,"351, 65",PANCREATITIS ACUTE,ABDOMEN PAIN EXACERBATION WITH BREATHING,0.01,3,11.000000000000064,0.908256880733945
77,"351, 66",PANCREATITIS ACUTE,ABDOMEN PAIN EXACERBATION WITH COUGH,0.01,3,11.00000000000001,0.5238095238095238
78,"351, 68",PANCREATITIS ACUTE,ABDOMEN PAIN EXACERBATION WITH FOOD,0.01,2,1.0000000000000002,1.0
79,"351, 69",PANCREATITIS ACUTE,ABDOMEN PAIN EXACERBATION WITH MOTION,0.01,3,11.00000000000001,0.5238095238095238
80,"351, 72",PANCREATITIS ACUTE,ABDOMEN PAIN HYPOGASTRIUM,0.01,3,0.9999999999999991,1.0
81,"351, 73",PANCREATITIS ACUTE,ABDOMEN PAIN LEFT LOWER QUADRANT,0.01,3,0.9999999999999991,1.0
82,"351, 74",PANCREATITIS ACUTE,ABDOMEN PAIN LEFT UPPER QUADRANT,0.01,3,11.000000000000064,0.908256880733945
83,"351, 79",PANCREATITIS ACUTE,ABDOMEN PAIN RADIATING TO BACK,0.01,3,11.00000000000001,0.5238095238095238
84,"351, 86",PANCREATITIS ACUTE,ABDOMEN PAIN RELIEVED BY SQUATTING,0.01,3,11.000000000000064,0.908256880733945
85,"351, 824",PANCREATITIS ACUTE,CHEST PAIN LATERAL EXACERBATION WITH BREATHING,0.01,3,1.0000000000000002,1.0
86,"351, 825",PANCREATITIS ACUTE,CHEST PAIN LATERAL SHARP,0.01,3,1.0000000000000002,1.0
87,"351, 1196",PANCREATITIS ACUTE,DYSPNEA AT REST,0.01,3,1.0000000000000002,1.0
88,"351, 1914",PANCREATITIS ACUTE,HICCUPS,0.01,2,,
89,"351, 1915",PANCREATITIS ACUTE,HIP <S> PAIN,0.01,2,0.9999999999999991,1.0
90,"351, 2054",PANCREATITIS ACUTE,JOINT <S> PAIN SEVERE,0.01,3,0.9999999999999991,1.0
91,"351, 2255",PANCREATITIS ACUTE,KNEE <S> PAIN,0.01,2,0.9999999999999991,1.0
92,"351, 2798",PANCREATITIS ACUTE,ONSET ABRUPT,0.01,3,,
93,"351, 3313",PANCREATITIS ACUTE,SHOULDER PAIN LEFT,0.01,2,1.0000000000000002,1.0
94,"351, 3314",PANCREATITIS ACUTE,SHOULDER PAIN RIGHT,0.01,2,0.9999999999999991,1.0
95,"351, 32",PANCREATITIS ACUTE,ABDOMEN DISTENTION,0.01,2,1.0000000000000002,1.0
96,"351, 41",PANCREATITIS ACUTE,ABDOMEN GUARDING INVOLUNTARY LOCALIZED,0.01,3,11.00000000000001,0.5238095238095238
97,"351, 43",PANCREATITIS ACUTE,ABDOMEN MASS <ES> PRESENT <NON HEPATOSPLENIC>,0.01,4,0.9999999999999991,1.0
98,"351, 44",PANCREATITIS ACUTE,ABDOMEN MASS EPIGASTRIUM,0.01,5,0.9999999999999991,1.0
99,"351, 96",PANCREATITIS ACUTE,ABDOMEN RESPIRATORY MOVEMENT DECREASED,0.01,2,11.00000000000001,0.5238095238095238
100,"351, 104",PANCREATITIS ACUTE,ABDOMEN TENDERNESS HYPOGASTRIUM,0.01,3,0.9999999999999991,1.0
101,"351, 105",PANCREATITIS ACUTE,ABDOMEN TENDERNESS LEFT LOWER QUADRANT,0.01,3,0.9999999999999991,1.0
102,"351, 106",PANCREATITIS ACUTE,ABDOMEN TENDERNESS LEFT UPPER QUADRANT,0.01,3,11.000000000000064,0.908256880733945
103,"351, 107",PANCREATITIS ACUTE,ABDOMEN TENDERNESS PERIUMBILICAL,0.01,3,0.9999999999999991,1.0
104,"351, 110",PANCREATITIS ACUTE,ABDOMEN TENDERNESS REBOUND LOCALIZED,0.01,3,11.00000000000001,0.5238095238095238
105,"351, 111",PANCREATITIS ACUTE,ABDOMEN TENDERNESS RIGHT LOWER QUADRANT,0.01,3,0.9999999999999991,1.0
106,"351, 112",PANCREATITIS ACUTE,ABDOMEN TENDERNESS RIGHT UPPER QUADRANT <NON HEPATIC>,0.01,3,1.0000000000000002,1.0
107,"351, 116",PANCREATITIS ACUTE,ABDOMEN TYMPANITES,0.01,2,1.0000000000000002,1.0
108,"351, 188",PANCREATITIS ACUTE,AFFECT APPREHENSIVE,0.01,2,,
109,"351, 587",PANCREATITIS ACUTE,BOWEL SOUND <S> DECREASED,0.01,2,1.0000000000000002,1.0
110,"351, 658",PANCREATITIS ACUTE,BREATH SOUND <S> DECREASED LOCALIZED,0.01,3,1.0000000000000002,1.0
111,"351, 849",PANCREATITIS ACUTE,CHEST PERCUSSION DIAPHRAGM ELEVATED UNILATERAL,0.01,3,0.9999999999999991,1.0
112,"351, 852",PANCREATITIS ACUTE,CHEST PERCUSSION DIAPHRAGM MOVEMENT DECREASED UNILATERAL,0.01,3,1.0000000000000002,1.0
113,"351, 853",PANCREATITIS ACUTE,CHEST PERCUSSION DULL LOCALIZED,0.01,3,1.0000000000000002,1.0
114,"351, 956",PANCREATITIS ACUTE,CHVOSTEK SIGN POSITIVE,0.01,3,0.9999999999999991,1.0
115,"351, 1127",PANCREATITIS ACUTE,DEHYDRATION,0.01,3,1.0000000000000002,1.0
116,"351, 1372",PANCREATITIS ACUTE,EXTREMITY <IES> DRAINING SINUS <ES>,0.01,4,0.9999999999999991,1.0
117,"351, 1531",PANCREATITIS ACUTE,FEVER,0.01,4,,
118,"351, 2026",PANCREATITIS ACUTE,JAUNDICE,0.01,5,1.0000000000000002,1.0
119,"351, 2039",PANCREATITIS ACUTE,JOINT <S> EFFUSION,0.01,3,0.9999999999999991,1.0
120,"351, 2040",PANCREATITIS ACUTE,JOINT <S> EXAM ABNORMAL,0.01,2,0.9999999999999991,1.0
121,"351, 2043",PANCREATITIS ACUTE,JOINT <S> INVOLVEMENT FIRST METATARSOPHALANGEAL,0.01,3,0.9999999999999991,1.0
122,"351, 2044",PANCREATITIS ACUTE,JOINT <S> INVOLVEMENT MONOARTICULAR,0.01,3,0.9999999999999991,1.0
123,"351, 2045",PANCREATITIS ACUTE,JOINT <S> INVOLVEMENT POLYARTICULAR ASYMMETRICAL,0.01,3,0.9999999999999991,1.0
124,"351, 2058",PANCREATITIS ACUTE,JOINT <S> RANGE OF MOTION DECREASED,0.01,3,0.9999999999999991,1.0
125,"351, 2061",PANCREATITIS ACUTE,JOINT <S> TENDERNESS SWELLING REDNESS,0.01,4,0.9999999999999991,1.0
126,"351, 2680",PANCREATITIS ACUTE,MUSCLE <S> MYOCLONIC JERK <S>,0.01,2,0.9999999999999991,1.0
127,"351, 3000",PANCREATITIS ACUTE,PLEURAL FRICTION RUB,0.01,4,0.9999999999999991,1.0
128,"351, 3028",PANCREATITIS ACUTE,POSTURE JACKNIFE POSITION,0.01,2,11.00000000000001,0.5238095238095238
129,"351, 3060",PANCREATITIS ACUTE,PRESSURE ARTERIAL SYSTOLIC 90 TO 110,0.01,2,,
130,"351, 3134",PANCREATITIS ACUTE,RALES LOCALIZED,0.01,3,1.0000000000000002,1.0
131,"351, 3379",PANCREATITIS ACUTE,SKIN ECCHYMOSIS LEFT FLANK ONLY,0.01,3,296.99999999983487,0.9900333344557056
132,"351, 3404",PANCREATITIS ACUTE,SKIN LESION <S> PRESENT,0.01,2,,
133,"351, 3444",PANCREATITIS ACUTE,SKIN NODE <S> ANTERIOR THIGH <S> OR GLUTEAL AREA <S>,0.01,3,0.9999999999999991,1.0
134,"351, 3447",PANCREATITIS ACUTE,SKIN NODE <S> TENDER RED RAISED,0.01,4,0.9999999999999991,1.0
135,"351, 3448",PANCREATITIS ACUTE,SKIN PALLOR GENERALIZED,0.01,2,,
136,"351, 3487",PANCREATITIS ACUTE,SKIN SUBCUTANEOUS NODULE <S>,0.01,4,0.9999999999999991,1.0
137,"351, 3493",PANCREATITIS ACUTE,SKIN SWEATING INCREASED GENERALIZED,0.01,1,,
138,"351, 3762",PANCREATITIS ACUTE,TACHYCARDIA,0.01,1,,
139,"351, 3763",PANCREATITIS ACUTE,TACHYPNEA,0.01,2,,
140,"351, 3903",PANCREATITIS ACUTE,TROUSSEAU SIGN PRESENT,0.01,4,0.9999999999999991,1.0
141,"351, 4019",PANCREATITIS ACUTE,VOMITING COFFEE GROUND,0.01,3,0.9999999999999991,1.0
142,"351, 4117",PANCREATITIS ACUTE,LUNG <S> PERCUSSION AND/OR AUSCULTATION ABNORMAL,0.01,3,,
143,"351, 216",PANCREATITIS ACUTE,ALKALINE PHOSPHATASE SERUM GTR THAN 2 TIMES NORMAL,0.01,4,0.9999999999999991,1.0
144,"351, 217",PANCREATITIS ACUTE,ALKALINE PHOSPHATASE SERUM INCREASED NOT OVER 2 TIMES NORMAL,0.01,3,1.0000000000000002,1.0
145,"351, 423",PANCREATITIS ACUTE,BICARBONATE SERUM GTR THAN 30,0.01,3,0.9999999999999991,1.0
146,"351, 428",PANCREATITIS ACUTE,BILIRUBIN SERUM CONJUGATED INCREASED,0.01,3,1.0000000000000002,1.0
147,"351, 430",PANCREATITIS ACUTE,BILIRUBIN URINE PRESENT,0.01,3,1.0000000000000002,1.0
148,"351, 741",PANCREATITIS ACUTE,CALCIUM SERUM DECREASED,0.01,3,11.000000000000064,0.908256880733945
149,"351, 871",PANCREATITIS ACUTE,CHEST XRAY DIAPHRAGM ELEVATED UNILATERAL,0.01,3,1.0000000000000002,1.0
150,"351, 893",PANCREATITIS ACUTE,CHEST XRAY LUNG FIELD <S> ABNORMAL,0.01,2,1.0000000000000002,1.0
151,"351, 902",PANCREATITIS ACUTE,CHEST XRAY PLATE LIKE DENSITY <IES>,0.01,3,11.000000000000064,0.908256880733945
152,"351, 905",PANCREATITIS ACUTE,CHEST XRAY PLEURAL EFFUSION <S> SMALL,0.01,4,1.0000000000000002,1.0
153,"351, 930",PANCREATITIS ACUTE,CHLORIDE SERUM DECREASED,0.01,3,1.0000000000000002,1.0
154,"351, 1254",PANCREATITIS ACUTE,EKG SINUS TACHYCARDIA,0.01,1,,
155,"351, 1257",PANCREATITIS ACUTE,EKG ST SEGMENT DEPRESSION WITHOUT RECIPROCAL ELEVATION,0.01,2,1.0000000000000002,1.0
156,"351, 1264",PANCREATITIS ACUTE,EKG T WAVE <S> INVERTED,0.01,2,1.0000000000000002,1.0
157,"351, 1268",PANCREATITIS ACUTE,EKG VENTRICULAR PREMATURE CONTRACTION <S>,0.01,2,,
158,"351, 1594",PANCREATITIS ACUTE,GLUCOSE PLASMA FASTING 130 TO 300,0.01,3,1.0000000000000002,1.0
159,"351, 1603",PANCREATITIS ACUTE,GLYCOSURIA,0.01,3,0.9999999999999991,1.0
160,"351, 1890",PANCREATITIS ACUTE,HEMATOCRIT BLOOD GTR THAN 50,0.01,3,1.0000000000000002,1.0
161,"351, 1891",PANCREATITIS ACUTE,HEMATOCRIT BLOOD LESS THAN 35,0.01,3,1.0000000000000002,1.0
162,"351, 1896",PANCREATITIS ACUTE,HEMOGLOBIN BLOOD GTR THAN 17,0.01,3,1.0000000000000002,1.0
163,"351, 1897",PANCREATITIS ACUTE,HEMOGLOBIN BLOOD LESS THAN 12,0.01,3,1.0000000000000002,1.0
164,"351, 2578",PANCREATITIS ACUTE,MAGNESIUM SERUM DECREASED,0.01,2,11.000000000000064,0.908256880733945
165,"351, 3032",PANCREATITIS ACUTE,POTASSIUM SERUM DECREASED,0.01,4,1.0000000000000002,1.0
166,"351, 3084",PANCREATITIS ACUTE,PROTEINURIA,0.01,3,0.9999999999999991,1.0
167,"351, 3306",PANCREATITIS ACUTE,SERUM ASPARTATE AMINOTRANSFERASE <SGOT> 120 TO 400,0.01,4,0.9999999999999991,1.0
168,"351, 3307",PANCREATITIS ACUTE,SERUM ASPARTATE AMINOTRANSFERASE <SGOT> 40 TO 119,0.01,3,1.0000000000000002,1.0
169,"351, 3309",PANCREATITIS ACUTE,SERUM ALANINE AMINOTRANSFERASE <SGPT> 200 TO 600,0.01,4,0.9999999999999991,1.0
170,"351, 3310",PANCREATITIS ACUTE,SERUM ALANINE AMINOTRANSFERASE <SGPT> 40 TO 199,0.01,3,1.0000000000000002,1.0
171,"351, 3539",PANCREATITIS ACUTE,SODIUM SERUM DECREASED,0.01,3,1.0000000000000002,1.0
172,"351, 3865",PANCREATITIS ACUTE,TRANSAMINASE <S> SERUM INCREASED,0.01,3,1.0000000000000002,1.0
173,"351, 3982",PANCREATITIS ACUTE,URINE SEDIMENT RBC,0.01,3,0.9999999999999991,1.0
174,"351, 4025",PANCREATITIS ACUTE,WBC 14000 TO 30000,0.01,3,,
175,"351, 4026",PANCREATITIS ACUTE,WBC 4000 TO 13900 PERCENT NEUTROPHIL <S> INCREASED,0.01,2,,
176,"351, 4033",PANCREATITIS ACUTE,WBC EOSINOPHIL <S> GTR THAN 400,0.01,2,0.9999999999999991,1.0
177,"351, 4035",PANCREATITIS ACUTE,WBC GTR THAN 30000,0.01,5,0.9999999999999991,1.0
178,"351, 152",PANCREATITIS ACUTE,ABDOMEN XRAY DIFFUSE MOTTLING,0.01,3,890.9999999965667,0.9900111112358164
179,"351, 167",PANCREATITIS ACUTE,ABDOMEN XRAY SMALL INTESTINE SENTINEL LOOP,0.01,3,11.00000000000001,0.5238095238095238
180,"351, 235",PANCREATITIS ACUTE,AMYLASE SERUM GTR THAN 2 TIMES NORMAL,0.01,4,297.0000000000046,0.25063291139240507
181,"351, 237",PANCREATITIS ACUTE,AMYLASE URINE INCREASED,0.01,4,297.0000000000046,0.25063291139240507
182,"351, 494",PANCREATITIS ACUTE,BONE <S> RADIOISOTOPE SCAN INCREASED UPTAKE LOCALIZED,0.01,3,0.9999999999999991,1.0
183,"351, 519",PANCREATITIS ACUTE,BONE MARROW BIOPSY FAT NECROSIS,0.01,4,11.000000000000064,0.908256880733945
184,"351, 574",PANCREATITIS ACUTE,BONE XRAY LONG BONE <S> CORTICAL EROSION <S>,0.01,3,0.9999999999999991,1.0
185,"351, 576",PANCREATITIS ACUTE,BONE XRAY OSTEOLYTIC LESION <S>,0.01,4,0.9999999999999991,1.0
186,"351, 1180",PANCREATITIS ACUTE,DUODENUM BARIUM MEAL LOOP ENLARGED,0.01,3,11.000000000000064,0.908256880733945
187,"351, 1181",PANCREATITIS ACUTE,DUODENUM BARIUM MEAL MUCOSAL FOLDS THICK FLAT IRREGULAR,0.01,3,0.9999999999999991,1.0
188,"351, 1577",PANCREATITIS ACUTE,GALLBLADDER ORAL CHOLECYSTOGRAPHY NON VISUALIZED,0.01,3,1.0,1.0
189,"351, 1892",PANCREATITIS ACUTE,HEMATOCRIT BLOOD RAPID DECREASE,0.01,5,1.0000000000000002,1.0
190,"351, 1916",PANCREATITIS ACUTE,HIP <S> XRAY FEMORAL HEAD ASEPTIC NECROSIS,0.01,3,0.9999999999999991,1.0
191,"351, 2069",PANCREATITIS ACUTE,JOINT <S> XRAY PERIARTICULAR OSTEOPOROSIS,0.01,2,0.9999999999999991,1.0
192,"351, 2097",PANCREATITIS ACUTE,JOINT FLUID NEUTROPHIL <S> PREDOMINANT,0.01,4,0.9999999999999991,1.0
193,"351, 2098",PANCREATITIS ACUTE,JOINT FLUID OBTAINED BY ASPIRATION,0.01,1,,
194,"351, 2106",PANCREATITIS ACUTE,JOINT FLUID WBC 3000 TO 20000,0.01,4,0.9999999999999991,1.0
195,"351, 2108",PANCREATITIS ACUTE,JOINT FLUID WBC LESS THAN 3000,0.01,3,0.9999999999999991,1.0
196,"351, 2363",PANCREATITIS ACUTE,LIPASE SERUM INCREASED,0.01,3,296.9999999999916,0.5008431703204047
197,"351, 2366",PANCREATITIS ACUTE,LIPOPROTEINEMIA TYPE IV,0.01,3,0.9999999999999991,1.0
198,"351, 2807",PANCREATITIS ACUTE,PANCREAS COMPUTERIZED TOMOGRAPHY ENLARGEMENT DIFFUSE,0.01,4,890.9999999999159,0.5002807411566536
199,"351, 2808",PANCREATITIS ACUTE,PANCREAS COMPUTERIZED TOMOGRAPHY ENLARGEMENT LOCALIZED TO BODY AND/OR TAIL,0.01,4,11.000000000000064,0.908256880733945
200,"351, 2809",PANCREATITIS ACUTE,PANCREAS COMPUTERIZED TOMOGRAPHY ENLARGEMENT LOCALIZED TO HEAD,0.01,4,11.000000000000064,0.908256880733945
201,"351, 2814",PANCREATITIS ACUTE,PANCREAS ULTRASONOGRAPHY ENLARGEMENT DIFFUSE,0.01,4,890.9999999999159,0.5002807411566536
202,"351, 2815",PANCREATITIS ACUTE,PANCREAS ULTRASONOGRAPHY ENLARGEMENT LOCALIZED TO BODY AND/OR TAIL,0.01,4,11.000000000000064,0.908256880733945
203,"351, 2816",PANCREATITIS ACUTE,PANCREAS ULTRASONOGRAPHY ENLARGEMENT LOCALIZED TO HEAD,0.01,4,11.000000000000064,0.908256880733945
204,"351, 2921",PANCREATITIS ACUTE,PH BLOOD ARTERIAL GTR THAN 7:5,0.01,4,0.9999999999999991,1.0
205,"351, 2956",PANCREATITIS ACUTE,PLEURAL FLUID AMYLASE INCREASED,0.01,5,297.00000000003075,0.9003031323678006
206,"351, 2988",PANCREATITIS ACUTE,PLEURAL FLUID NEUTROPHIL <S> PREDOMINANT,0.01,5,1.0000000000000002,1.0
207,"351, 2989",PANCREATITIS ACUTE,PLEURAL FLUID OBTAINED BY THORACENTESIS,0.01,1,,
208,"351, 3316",PANCREATITIS ACUTE,SHOULDER XRAY HUMERUS ASEPTIC NECROSIS HEAD,0.01,4,0.9999999999999991,1.0
209,"351, 3349",PANCREATITIS ACUTE,SKIN BIOPSY FAT NECROSIS,0.01,4,0.9999999999999991,1.0
210,"351, 3361",PANCREATITIS ACUTE,SKIN BIOPSY SUBCUTANEOUS FAT LOBULAR INFLAMMATION <INTRALOBULAR>,0.01,3,0.9999999999999991,1.0
211,"351, 3902",PANCREATITIS ACUTE,TRIGLYCERIDE <S> SERUM INCREASED,0.01,2,1.0000000000000002,1.0
