dx_id,dx_name,mx_id,mx_name,associations
114,CHOLEDOCHOLITHIASIS,107,ABDOMEN TENDERNESS PERIUMBILICAL,"114,107"
114,CHOLEDOCHOLITHIASIS,108,ABDOMEN TENDERNESS PRESENT,"114,108"
114,CHOLEDOCHOLITHIASIS,110,ABDOMEN TENDERNESS REBOUND LOCALIZED,"114,110"
114,CHOLEDOCHOLITHIASIS,111,ABDOMEN TENDERNESS RIGHT LOWER QUADRANT,"114,111"
114,CHOLEDOCHOLITHIASIS,112,ABDOMEN TENDERNESS RIGHT UPPER QUADRANT <NON HEPATIC>,"114,112"
114,CHOLEDOCHOLITHIASIS,114,ABDOMEN TRAUMA RECENT HX,"114,114"
114,CHOLEDOCHOLITHIASIS,116,ABDOMEN TYMPANITES,"114,116"
114,CHOLEDOCHOLITHIASIS,118,ABDOMEN ULTRASONOGRAPHY COMMON BILE DUCT AND INTRAHEPATIC DUCT <S> DILATED,"114,118"
114,CHOLEDOCHOLITHIASIS,119,ABDOMEN ULTRASONOGRAPHY GALLBLADDER CONTAINING STONE <S>,"114,119"
114,CHOLEDOCHOLITHIASIS,120,ABDOMEN ULTRASONOGRAPHY GALLBLADDER ENLARGED,"114,120"
114,CHOLEDOCHOLITHIASIS,143,ABDOMEN XRAY CALCIFICATION PANCREAS,"114,143"
114,CHOLEDOCHOLITHIASIS,152,ABDOMEN XRAY DIFFUSE MOTTLING,"114,152"
114,CHOLEDOCHOLITHIASIS,155,ABDOMEN XRAY GALLBLADDER CONTAINING STONE <S>,"114,155"
114,CHOLEDOCHOLITHIASIS,164,ABDOMEN XRAY PNEUMATOSIS CYSTOIDES INTESTINALIS,"114,164"
114,CHOLEDOCHOLITHIASIS,167,ABDOMEN XRAY SMALL INTESTINE SENTINEL LOOP,"114,167"
114,CHOLEDOCHOLITHIASIS,183,ACTIVATED PARTIAL THROMBOPLASTIN TIME INCREASED,"114,183"
114,CHOLEDOCHOLITHIASIS,188,AFFECT APPREHENSIVE,"114,188"
114,CHOLEDOCHOLITHIASIS,190,AFFECT DEPRESSED,"114,190"
114,CHOLEDOCHOLITHIASIS,198,AGE 16 TO 25,"114,198"
114,CHOLEDOCHOLITHIASIS,199,AGE 26 TO 55,"114,199"
114,CHOLEDOCHOLITHIASIS,200,AGE GTR THAN 55,"114,200"
114,CHOLEDOCHOLITHIASIS,205,ALBUMIN SERUM LESS THAN 3 GRAM <S> PER DL,"114,205"
114,CHOLEDOCHOLITHIASIS,207,ALCOHOL INGESTION HEAVY RECENT HX,"114,207"
114,CHOLEDOCHOLITHIASIS,208,ALCOHOLISM CHRONIC HX,"114,208"
114,CHOLEDOCHOLITHIASIS,216,ALKALINE PHOSPHATASE SERUM GTR THAN 2 TIMES NORMAL,"114,216"
114,CHOLEDOCHOLITHIASIS,217,ALKALINE PHOSPHATASE SERUM INCREASED NOT OVER 2 TIMES NORMAL,"114,217"
114,CHOLEDOCHOLITHIASIS,235,AMYLASE SERUM GTR THAN 2 TIMES NORMAL,"114,235"
114,CHOLEDOCHOLITHIASIS,236,AMYLASE SERUM INCREASED AFTER SECRETIN,"114,236"
114,CHOLEDOCHOLITHIASIS,237,AMYLASE URINE INCREASED,"114,237"
114,CHOLEDOCHOLITHIASIS,248,ANOREXIA,"114,248"
114,CHOLEDOCHOLITHIASIS,4498,ANTIBODY ANISAKIS POSITIVE BY MONOCLONAL ANTIBODY,"1,144,498"
114,CHOLEDOCHOLITHIASIS,391,ASPIRIN ADMINISTRATION IN LARGE AMOUNT RECENT HX,"114,391"
114,CHOLEDOCHOLITHIASIS,423,BICARBONATE SERUM GTR THAN 30,"114,423"
114,CHOLEDOCHOLITHIASIS,428,BILIRUBIN SERUM CONJUGATED INCREASED,"114,428"
114,CHOLEDOCHOLITHIASIS,430,BILIRUBIN URINE PRESENT,"114,430"
114,CHOLEDOCHOLITHIASIS,494,BONE <S> RADIOISOTOPE SCAN INCREASED UPTAKE LOCALIZED,"114,494"
114,CHOLEDOCHOLITHIASIS,519,BONE MARROW BIOPSY FAT NECROSIS,"114,519"
114,CHOLEDOCHOLITHIASIS,574,BONE XRAY LONG BONE <S> CORTICAL EROSION <S>,"114,574"
114,CHOLEDOCHOLITHIASIS,576,BONE XRAY OSTEOLYTIC LESION <S>,"114,576"
114,CHOLEDOCHOLITHIASIS,587,BOWEL SOUND <S> DECREASED,"114,587"
114,CHOLEDOCHOLITHIASIS,658,BREATH SOUND <S> DECREASED LOCALIZED,"114,658"
114,CHOLEDOCHOLITHIASIS,741,CALCIUM SERUM DECREASED,"114,741"
114,CHOLEDOCHOLITHIASIS,742,CALCIUM SERUM INCREASED,"114,742"
114,CHOLEDOCHOLITHIASIS,786,CELIAC ANGIOGRAPHY PANCREAS ARTERY <IES> IRREGULAR NARROWING,"114,786"
114,CHOLEDOCHOLITHIASIS,790,CELIAC ANGIOGRAPHY SPLENIC VEIN OCCLUSION,"114,790"
114,CHOLEDOCHOLITHIASIS,824,CHEST PAIN LATERAL EXACERBATION WITH BREATHING,"114,824"
114,CHOLEDOCHOLITHIASIS,825,CHEST PAIN LATERAL SHARP,"114,825"
114,CHOLEDOCHOLITHIASIS,849,CHEST PERCUSSION DIAPHRAGM ELEVATED UNILATERAL,"114,849"
114,CHOLEDOCHOLITHIASIS,852,CHEST PERCUSSION DIAPHRAGM MOVEMENT DECREASED UNILATERAL,"114,852"
114,CHOLEDOCHOLITHIASIS,853,CHEST PERCUSSION DULL LOCALIZED,"114,853"
114,CHOLEDOCHOLITHIASIS,871,CHEST XRAY DIAPHRAGM ELEVATED UNILATERAL,"114,871"
114,CHOLEDOCHOLITHIASIS,875,CHEST XRAY ESOPHAGUS AIR FLUID LEVEL <S>,"114,875"
114,CHOLEDOCHOLITHIASIS,893,CHEST XRAY LUNG FIELD <S> ABNORMAL,"114,893"
114,CHOLEDOCHOLITHIASIS,902,CHEST XRAY PLATE LIKE DENSITY <IES>,"114,902"
114,CHOLEDOCHOLITHIASIS,905,CHEST XRAY PLEURAL EFFUSION <S> SMALL,"114,905"
114,CHOLEDOCHOLITHIASIS,930,CHLORIDE SERUM DECREASED,"114,930"
114,CHOLEDOCHOLITHIASIS,933,CHOLANGIOGRAPHY COMMON DUCT AND INTRAHEPATIC DUCT <S> DILATED,"114,933"
114,CHOLEDOCHOLITHIASIS,935,CHOLANGIOGRAPHY COMMON DUCT IRREGULAR NARROWING DISTAL,"114,935"
114,CHOLEDOCHOLITHIASIS,937,CHOLANGIOGRAPHY COMMON DUCT ROUND FILLING DEFECT <S>,"114,937"
114,CHOLEDOCHOLITHIASIS,950,CHOLECYSTECTOMY HX,"114,950"
114,CHOLEDOCHOLITHIASIS,952,CHOLESTEROL SERUM DECREASED,"114,952"
114,CHOLEDOCHOLITHIASIS,953,CHOLESTEROL SERUM INCREASED,"114,953"
114,CHOLEDOCHOLITHIASIS,956,CHVOSTEK SIGN POSITIVE,"114,956"
114,CHOLEDOCHOLITHIASIS,957,CIGARETTE SMOKING HX,"114,957"
114,CHOLEDOCHOLITHIASIS,980,COLON BARIUM ENEMA FILLING DEFECT ILEOCECAL VALVE AREA,"114,980"
114,CHOLEDOCHOLITHIASIS,982,COLON BARIUM ENEMA FILLING DEFECT RIGHT COLON <NON ILEOCECAL>,"114,982"
114,CHOLEDOCHOLITHIASIS,985,COLON BARIUM ENEMA INTERNAL MARGIN <S> IRREGULAR,"114,985"
114,CHOLEDOCHOLITHIASIS,989,COLON BARIUM ENEMA MULTIPLE NODULAR FILLING DEFECT <S>,"114,989"
114,CHOLEDOCHOLITHIASIS,998,COLON BARIUM ENEMA THUMBPRINTING,"114,998"
114,CHOLEDOCHOLITHIASIS,1001,COLON BARIUM ENEMA WALL THICKENED,"1,141,001"
114,CHOLEDOCHOLITHIASIS,1005,COLONOSCOPY BIOPSY GRANULOMA <S> NON CASEATING,"1,141,005"
114,CHOLEDOCHOLITHIASIS,1012,COLONOSCOPY MULTIPLE NODULAR FILLING DEFECT <S>,"1,141,012"
114,CHOLEDOCHOLITHIASIS,1021,CONJUNCTIVA AND/OR MOUTH PALLOR,"1,141,021"
114,CHOLEDOCHOLITHIASIS,1029,CONSTIPATION,"1,141,029"
114,CHOLEDOCHOLITHIASIS,1032,CONTRACEPTIVE ORAL ADMINISTRATION PRIOR TO CURRENT ILLNESS HX,"1,141,032"
114,CHOLEDOCHOLITHIASIS,1046,CORTICOSTEROID ADMINISTRATION PRIOR TO CURRENT ILLNESS HX,"1,141,046"
114,CHOLEDOCHOLITHIASIS,1050,COUGH,"1,141,050"
114,CHOLEDOCHOLITHIASIS,1120,CYTOTOXIC DRUG ADMINISTRATION PRIOR TO CURRENT ILLNESS HX,"1,141,120"
114,CHOLEDOCHOLITHIASIS,1127,DEHYDRATION,"1,141,127"
114,CHOLEDOCHOLITHIASIS,1144,DEPRESSION HX,"1,141,144"
114,CHOLEDOCHOLITHIASIS,1150,DIARRHEA ACUTE,"1,141,150"
114,CHOLEDOCHOLITHIASIS,1152,DIARRHEA CHRONIC,"1,141,152"
114,CHOLEDOCHOLITHIASIS,1154,DIARRHEA INTERMITTENT,"1,141,154"
114,CHOLEDOCHOLITHIASIS,4494,DIET RAW FISH INGESTION RECENT HX,"1,144,494"
114,CHOLEDOCHOLITHIASIS,1172,DUODENAL BULB BARIUM MEAL DEFORMITY,"1,141,172"
114,CHOLEDOCHOLITHIASIS,1173,DUODENAL BULB BARIUM MEAL ULCER CRATER <S>,"1,141,173"
114,CHOLEDOCHOLITHIASIS,1177,DUODENUM BARIUM MEAL DISTAL ULCER CRATER <S>,"1,141,177"
114,CHOLEDOCHOLITHIASIS,1180,DUODENUM BARIUM MEAL LOOP ENLARGED,"1,141,180"
114,CHOLEDOCHOLITHIASIS,1181,DUODENUM BARIUM MEAL MUCOSAL FOLDS THICK FLAT IRREGULAR,"1,141,181"
114,CHOLEDOCHOLITHIASIS,1185,DUODENUM ENDOSCOPY ULCER CRATER <S>,"1,141,185"
114,CHOLEDOCHOLITHIASIS,1190,DYSPHAGIA LIQUID <S>,"1,141,190"
114,CHOLEDOCHOLITHIASIS,1192,DYSPHAGIA SOLID <S>,"1,141,192"
114,CHOLEDOCHOLITHIASIS,1196,DYSPNEA AT REST,"1,141,196"
114,CHOLEDOCHOLITHIASIS,1254,EKG SINUS TACHYCARDIA,"1,141,254"
114,CHOLEDOCHOLITHIASIS,1257,EKG ST SEGMENT DEPRESSION WITHOUT RECIPROCAL ELEVATION,"1,141,257"
114,CHOLEDOCHOLITHIASIS,1264,EKG T WAVE <S> INVERTED,"1,141,264"
114,CHOLEDOCHOLITHIASIS,1268,EKG VENTRICULAR PREMATURE CONTRACTION <S>,"1,141,268"
114,CHOLEDOCHOLITHIASIS,1280,EMACIATION,"1,141,280"
114,CHOLEDOCHOLITHIASIS,1300,ESOPHAGOSCOPY BIOPSY GRANULOMA <S> NON CASEATING,"1,141,300"
114,CHOLEDOCHOLITHIASIS,1307,ESOPHAGOSCOPY DISTAL NARROWING,"1,141,307"
114,CHOLEDOCHOLITHIASIS,1311,ESOPHAGOSCOPY INTRINSIC FILLING DEFECT,"1,141,311"
114,CHOLEDOCHOLITHIASIS,1317,ESOPHAGOSCOPY STRICTURE,"1,141,317"
114,CHOLEDOCHOLITHIASIS,1326,ESOPHAGUS BARIUM MEAL DILATATION,"1,141,326"
114,CHOLEDOCHOLITHIASIS,1329,ESOPHAGUS BARIUM MEAL DISTAL NARROWING,"1,141,329"
114,CHOLEDOCHOLITHIASIS,1333,ESOPHAGUS BARIUM MEAL INTRINSIC FILLING DEFECT,"1,141,333"
114,CHOLEDOCHOLITHIASIS,1336,ESOPHAGUS BARIUM MEAL PERISTALSIS DECREASED,"1,141,336"
114,CHOLEDOCHOLITHIASIS,1338,ESOPHAGUS BARIUM MEAL STRICTURE,"1,141,338"
114,CHOLEDOCHOLITHIASIS,1341,ESOPHAGUS BARIUM SWALLOW ABNORMAL,"1,141,341"
114,CHOLEDOCHOLITHIASIS,1351,ESTROGEN ADMINISTRATION PRIOR TO CURRENT ILLNESS HX,"1,141,351"
114,CHOLEDOCHOLITHIASIS,1353,ETHNIC BACKGROUND AMERICAN INDIAN,"1,141,353"
114,CHOLEDOCHOLITHIASIS,1372,EXTREMITY <IES> DRAINING SINUS <ES>,"1,141,372"
114,CHOLEDOCHOLITHIASIS,1481,FACTOR VII PROCONVERTIN DECREASED,"1,141,481"
114,CHOLEDOCHOLITHIASIS,1495,FECES BLACK TARRY,"1,141,495"
114,CHOLEDOCHOLITHIASIS,1512,FECES GUAIAC TEST POSITIVE,"1,141,512"
114,CHOLEDOCHOLITHIASIS,1516,FECES LIGHT COLORED,"1,141,516"
114,CHOLEDOCHOLITHIASIS,1518,FECES MEAT FIBER <S> INCREASED,"1,141,518"
114,CHOLEDOCHOLITHIASIS,1531,FEVER,"1,141,531"
114,CHOLEDOCHOLITHIASIS,1534,FEVER INTERMITTENT,"1,141,534"
114,CHOLEDOCHOLITHIASIS,1540,FINGER <S> CLUBBED,"1,141,540"
114,CHOLEDOCHOLITHIASIS,1577,GALLBLADDER ORAL CHOLECYSTOGRAPHY NON VISUALIZED,"1,141,577"
114,CHOLEDOCHOLITHIASIS,1580,GALLBLADDER PALPABLE,"1,141,580"
114,CHOLEDOCHOLITHIASIS,1581,GASTRECTOMY HX,"1,141,581"
114,CHOLEDOCHOLITHIASIS,1594,GLUCOSE PLASMA FASTING 130 TO 300,"1,141,594"
114,CHOLEDOCHOLITHIASIS,1595,GLUCOSE PLASMA FASTING LESS THAN 45,"1,141,595"
114,CHOLEDOCHOLITHIASIS,1603,GLYCOSURIA,"1,141,603"
114,CHOLEDOCHOLITHIASIS,1887,HEMATEMESIS AFTER FORCEFUL VOMITING,"1,141,887"
114,CHOLEDOCHOLITHIASIS,1888,HEMATEMESIS GROSS,"1,141,888"
114,CHOLEDOCHOLITHIASIS,1889,HEMATEMESIS HX,"1,141,889"
114,CHOLEDOCHOLITHIASIS,1890,HEMATOCRIT BLOOD GTR THAN 50,"1,141,890"
114,CHOLEDOCHOLITHIASIS,1891,HEMATOCRIT BLOOD LESS THAN 35,"1,141,891"
114,CHOLEDOCHOLITHIASIS,1892,HEMATOCRIT BLOOD RAPID DECREASE,"1,141,892"
114,CHOLEDOCHOLITHIASIS,1896,HEMOGLOBIN BLOOD GTR THAN 17,"1,141,896"
114,CHOLEDOCHOLITHIASIS,1897,HEMOGLOBIN BLOOD LESS THAN 12,"1,141,897"
114,CHOLEDOCHOLITHIASIS,1904,HEMORRHAGE GASTROINTESTINAL ACUTE RECENT HX,"1,141,904"
114,CHOLEDOCHOLITHIASIS,1910,HEPATOMEGALY PRESENT,"1,141,910"
114,CHOLEDOCHOLITHIASIS,1914,HICCUPS,"1,141,914"
114,CHOLEDOCHOLITHIASIS,1915,HIP <S> PAIN,"1,141,915"
114,CHOLEDOCHOLITHIASIS,1916,HIP <S> XRAY FEMORAL HEAD ASEPTIC NECROSIS,"1,141,916"
114,CHOLEDOCHOLITHIASIS,1960,IMMUNOELECTROPHORESIS SERUM IGE INCREASED,"1,141,960"
114,CHOLEDOCHOLITHIASIS,1983,INTESTINE <SMALL> BIOPSY GRANULOMA <S> NON CASEATING,"1,141,983"
114,CHOLEDOCHOLITHIASIS,2001,INTESTINE BARIUM MEAL FRAGMENTATION AND/OR MOULAGE SIGN,"1,142,001"
114,CHOLEDOCHOLITHIASIS,2003,INTESTINE BARIUM MEAL MUCOSAL FOLDS THICK,"1,142,003"
114,CHOLEDOCHOLITHIASIS,2004,INTESTINE BARIUM MEAL NODULAR FILLING DEFECT <S>,"1,142,004"
114,CHOLEDOCHOLITHIASIS,2013,INTESTINE BARIUM MEAL WALL <S> THICKENED,"1,142,013"
114,CHOLEDOCHOLITHIASIS,2014,INTESTINE RADIOISOTOPE SCAN NEGATIVE AFTER IV I131 ROSE BENGAL,"1,142,014"
114,CHOLEDOCHOLITHIASIS,2026,JAUNDICE,"1,142,026"
114,CHOLEDOCHOLITHIASIS,2027,JAUNDICE CHRONIC PERSISTENT HX,"1,142,027"
114,CHOLEDOCHOLITHIASIS,2028,JAUNDICE FAMILY HX,"1,142,028"
114,CHOLEDOCHOLITHIASIS,2029,JAUNDICE INTERMITTENT HX,"1,142,029"
114,CHOLEDOCHOLITHIASIS,2039,JOINT <S> EFFUSION,"1,142,039"
114,CHOLEDOCHOLITHIASIS,2040,JOINT <S> EXAM ABNORMAL,"1,142,040"
114,CHOLEDOCHOLITHIASIS,2043,JOINT <S> INVOLVEMENT FIRST METATARSOPHALANGEAL,"1,142,043"
114,CHOLEDOCHOLITHIASIS,2044,JOINT <S> INVOLVEMENT MONOARTICULAR,"1,142,044"
114,CHOLEDOCHOLITHIASIS,2045,JOINT <S> INVOLVEMENT POLYARTICULAR ASYMMETRICAL,"1,142,045"
114,CHOLEDOCHOLITHIASIS,2054,JOINT <S> PAIN SEVERE,"1,142,054"
114,CHOLEDOCHOLITHIASIS,2058,JOINT <S> RANGE OF MOTION DECREASED,"1,142,058"
114,CHOLEDOCHOLITHIASIS,2061,JOINT <S> TENDERNESS SWELLING REDNESS,"1,142,061"
114,CHOLEDOCHOLITHIASIS,2069,JOINT <S> XRAY PERIARTICULAR OSTEOPOROSIS,"1,142,069"
114,CHOLEDOCHOLITHIASIS,2097,JOINT FLUID NEUTROPHIL <S> PREDOMINANT,"1,142,097"
114,CHOLEDOCHOLITHIASIS,2098,JOINT FLUID OBTAINED BY ASPIRATION,"1,142,098"
114,CHOLEDOCHOLITHIASIS,2106,JOINT FLUID WBC 3000 TO 20000,"1,142,106"
114,CHOLEDOCHOLITHIASIS,2108,JOINT FLUID WBC LESS THAN 3000,"1,142,108"
114,CHOLEDOCHOLITHIASIS,2112,KETONE <S> PLASMA INCREASED,"1,142,112"
114,CHOLEDOCHOLITHIASIS,2255,KNEE <S> PAIN,"1,142,255"
114,CHOLEDOCHOLITHIASIS,2256,KVEIM TEST POSITIVE,"1,142,256"
114,CHOLEDOCHOLITHIASIS,2270,LDH SERUM GTR THAN 200,"1,142,270"
114,CHOLEDOCHOLITHIASIS,2363,LIPASE SERUM INCREASED,"1,142,363"
114,CHOLEDOCHOLITHIASIS,2366,LIPOPROTEINEMIA TYPE IV,"1,142,366"
114,CHOLEDOCHOLITHIASIS,2381,LIVER BIOPSY BILE DUCT <S> ECTASIA,"1,142,381"
114,CHOLEDOCHOLITHIASIS,2382,LIVER BIOPSY BILE PLUGGING,"1,142,382"
114,CHOLEDOCHOLITHIASIS,2417,LIVER BIOPSY PERIDUCTAL CONCENTRIC FIBROSIS,"1,142,417"
114,CHOLEDOCHOLITHIASIS,2420,LIVER BIOPSY PERIPORTAL FIBROSIS MILD,"1,142,420"
114,CHOLEDOCHOLITHIASIS,2432,LIVER BIOPSY SMALL BILE DUCT <S> PROLIFERATION,"1,142,432"
114,CHOLEDOCHOLITHIASIS,2448,LIVER ENLARGED MODERATE,"1,142,448"
114,CHOLEDOCHOLITHIASIS,2449,LIVER ENLARGED SLIGHT,"1,142,449"
114,CHOLEDOCHOLITHIASIS,2460,LIVER TENDER ON PALPATION,"1,142,460"
114,CHOLEDOCHOLITHIASIS,4117,LUNG <S> PERCUSSION AND/OR AUSCULTATION ABNORMAL,"1,144,117"
114,CHOLEDOCHOLITHIASIS,4146,LUNG BIOPSY PULMONARY ARTERY BRANCH <ES> CONTAINING NEOPLASM,"1,144,146"
114,CHOLEDOCHOLITHIASIS,2529,LYMPH NODE <S> ENLARGED,"1,142,529"
114,CHOLEDOCHOLITHIASIS,2544,LYMPH NODE BIOPSY CARCINOMA CONTAINING MUCUS,"1,142,544"
114,CHOLEDOCHOLITHIASIS,2567,LYMPH NODE BIOPSY MALIGNANT NEOPLASM <NON LYMPHOMA>,"1,142,567"
114,CHOLEDOCHOLITHIASIS,2578,MAGNESIUM SERUM DECREASED,"1,142,578"
114,CHOLEDOCHOLITHIASIS,2667,MUMPS RECENT HX,"1,142,667"
114,CHOLEDOCHOLITHIASIS,2680,MUSCLE <S> MYOCLONIC JERK <S>,"1,142,680"
114,CHOLEDOCHOLITHIASIS,2798,ONSET ABRUPT,"1,142,798"
114,CHOLEDOCHOLITHIASIS,4495,ONSET WINTER OR SPRING SEASON,"1,144,495"
114,CHOLEDOCHOLITHIASIS,2807,PANCREAS COMPUTERIZED TOMOGRAPHY ENLARGEMENT DIFFUSE,"1,142,807"
114,CHOLEDOCHOLITHIASIS,2808,PANCREAS COMPUTERIZED TOMOGRAPHY ENLARGEMENT LOCALIZED TO BODY AND/OR TAIL,"1,142,808"
114,CHOLEDOCHOLITHIASIS,2809,PANCREAS COMPUTERIZED TOMOGRAPHY ENLARGEMENT LOCALIZED TO HEAD,"1,142,809"
114,CHOLEDOCHOLITHIASIS,2813,PANCREAS ULTRASONOGRAPHY DIFFUSE IRREGULAR ENLARGEMENT,"1,142,813"
114,CHOLEDOCHOLITHIASIS,2814,PANCREAS ULTRASONOGRAPHY ENLARGEMENT DIFFUSE,"1,142,814"
114,CHOLEDOCHOLITHIASIS,2815,PANCREAS ULTRASONOGRAPHY ENLARGEMENT LOCALIZED TO BODY AND/OR TAIL,"1,142,815"
114,CHOLEDOCHOLITHIASIS,2816,PANCREAS ULTRASONOGRAPHY ENLARGEMENT LOCALIZED TO HEAD,"1,142,816"
114,CHOLEDOCHOLITHIASIS,2817,PANCREATITIS ACUTE HX,"1,142,817"
114,CHOLEDOCHOLITHIASIS,2819,PANCREATOGRAPHY RETROGRADE DUCT <S> CALCULI,"1,142,819"
114,CHOLEDOCHOLITHIASIS,2820,PANCREATOGRAPHY RETROGRADE DUCT <S> DIFFUSE DILATATION WITHOUT OBSTRUCTION,"1,142,820"
114,CHOLEDOCHOLITHIASIS,2821,PANCREATOGRAPHY RETROGRADE DUCT <S> DIFFUSE NARROWING,"1,142,821"
114,CHOLEDOCHOLITHIASIS,2822,PANCREATOGRAPHY RETROGRADE DUCT <S> MULTIPLE AREA <S> OF STENOSIS AND DILATATION,"1,142,822"
114,CHOLEDOCHOLITHIASIS,2823,PANCREATOGRAPHY RETROGRADE DUCT <S> MULTIPLE CYSTIC AREA <S>,"1,142,823"
114,CHOLEDOCHOLITHIASIS,2824,PANCREATOGRAPHY RETROGRADE MAIN DUCT OR BRANCH <ES> COMPLETE OBSTRUCTION,"1,142,824"
114,CHOLEDOCHOLITHIASIS,2825,PANCREATOGRAPHY RETROGRADE MAIN DUCT OR BRANCH <ES> SINGLE AREA OF STENOSIS WITH PROXIMAL DILATATION,"1,142,825"
